dataset,model,method,seed,test_acc,mean_client_test_acc
Cora,gcn,centralized,0,0.8795620437956204,
Cora,gcn,local,0,0.8613138686131386,0.8580137252991541
Cora,gcn,fedavg,0,0.8175182481751825,0.8173951404891184
Cora,gcn,fedsira,0,0.8540145985401459,0.8512591449999819
Cora,sage,centralized,0,0.8941605839416058,
Cora,sage,local,0,0.8485401459854015,0.8438434457264977
Cora,sage,fedavg,0,0.8175182481751825,0.813868112723301
Cora,sage,fedsira,0,0.8777372262773723,0.8735326977249478
Cora,gcn,centralized,1,0.8631386861313869,
Cora,gcn,local,1,0.8211678832116789,0.8175517109918017
Cora,gcn,fedavg,1,0.843065693430657,0.8375719331214115
Cora,gcn,fedsira,1,0.8485401459854015,0.8427076539917222
Cora,sage,centralized,1,0.864963503649635,
Cora,sage,local,1,0.7974452554744526,0.789362000813215
Cora,sage,fedavg,1,0.7937956204379562,0.7866409047888888
Cora,sage,fedsira,1,0.833941605839416,0.8278416507971359
Cora,gcn,centralized,2,0.885036496350365,
Cora,gcn,local,2,0.8266423357664233,0.8170415549362918
Cora,gcn,fedavg,2,0.8120437956204379,0.8031861096992676
Cora,gcn,fedsira,2,0.8357664233576643,0.8263457692405061
Cora,sage,centralized,2,0.8795620437956204,
Cora,sage,local,2,0.8357664233576643,0.8249721453010925
Cora,sage,fedavg,2,0.7700729927007299,0.7615815251999463
Cora,sage,fedsira,2,0.8412408759124088,0.8324988413146308
CiteSeer,gcn,centralized,0,0.7391952309985097,
CiteSeer,gcn,local,0,0.6944858420268256,0.696922032152392
CiteSeer,gcn,fedavg,0,0.7078986587183308,0.7087323685725752
CiteSeer,gcn,fedsira,0,0.7049180327868853,0.707104625009388
CiteSeer,sage,centralized,0,0.7451564828614009,
CiteSeer,sage,local,0,0.6751117734724292,0.6733357266943807
CiteSeer,sage,fedavg,0,0.7004470938897168,0.6996309740490265
CiteSeer,sage,fedsira,0,0.7093889716840537,0.7082396150038465
CiteSeer,gcn,centralized,1,0.7853949329359166,
CiteSeer,gcn,local,1,0.7347242921013413,0.7329941540655629
CiteSeer,gcn,fedavg,1,0.7555886736214605,0.752949767089816
CiteSeer,gcn,fedsira,1,0.7466467958271237,0.7451300038644906
CiteSeer,sage,centralized,1,0.7764530551415797,
CiteSeer,sage,local,1,0.7481371087928465,0.7466784083601142
CiteSeer,sage,fedavg,1,0.7585692995529061,0.7573004543808596
CiteSeer,sage,fedsira,1,0.7555886736214605,0.7533694215171404
CiteSeer,gcn,centralized,2,0.7824143070044709,
CiteSeer,gcn,local,2,0.7242921013412816,0.7200193446150853
CiteSeer,gcn,fedavg,2,0.7406855439642325,0.7369094650985741
CiteSeer,gcn,fedsira,2,0.7332339791356185,0.7302336669233931
CiteSeer,sage,centralized,2,0.7466467958271237,
CiteSeer,sage,local,2,0.736214605067064,0.7334050379189575
CiteSeer,sage,fedavg,2,0.7198211624441133,0.7165149364233478
CiteSeer,sage,fedsira,2,0.7451564828614009,0.7408475458780036
PubMed,gcn,centralized,0,0.8730359858084136,
PubMed,gcn,local,0,0.8684744044602128,0.8649871926591297
PubMed,gcn,fedavg,0,0.8697415103902686,0.8656767722225966
PubMed,gcn,fedsira,0,0.872022301064369,0.8681512558584258
PubMed,sage,centralized,0,0.890522047643183,
PubMed,sage,local,0,0.8737962493664471,0.8704109224203215
PubMed,sage,fedavg,0,0.8869741510390269,0.885800983551335
PubMed,sage,fedsira,0,0.8791180942726812,0.87757725195232
PubMed,gcn,centralized,1,0.8793715154586923,
PubMed,gcn,local,1,0.8672072985301571,0.8666579956469297
PubMed,gcn,fedavg,1,0.8649265078560567,0.8641160771191398
PubMed,gcn,fedsira,1,0.8616320324379118,0.8604617513662222
PubMed,sage,centralized,1,0.8996452103395844,
PubMed,sage,local,1,0.8740496705524582,0.8729807447307618
PubMed,sage,fedavg,1,0.8826659908768373,0.8824731361856119
PubMed,sage,fedsira,1,0.8722757222503801,0.8712425223984747
PubMed,gcn,centralized,2,0.872022301064369,
PubMed,gcn,local,2,0.8601115053218449,0.859759986690284
PubMed,gcn,fedavg,2,0.8545362392295996,0.8539677562559456
PubMed,gcn,fedsira,2,0.8656867714140902,0.8652522968348801
PubMed,sage,centralized,2,0.8882412569690826,
PubMed,sage,local,2,0.8649265078560567,0.8647074771967326
PubMed,sage,fedavg,2,0.8727825646224024,0.8722126940902154
PubMed,sage,fedsira,2,0.8745565129244804,0.8742969283880232
